com_code,course_code,course_name,instructors
1599,"HSS F334","SRIMAD BHAGAVAD GITA","ARUNA LOLLA"
1604,"HSS F335","LITERARY CRITICISM","SHILPAA ANAND"
1623,"HSS F343","PROFESSIONAL ETHICS","JAYESH A K"
1626,"HSS F346","INTERNATIONAL RELATIONS","SUCHISMITA SATPATHY"
2269,"HSS F362","LOCAL GOVERNANCE AND PARTICIPATION","LAVANYA SURESH"
2270,"HSS F363","DISASTER AND DEVELOPMENT","BISWANATH DASH"
1096,"INSTR F211","ELECTRICAL MACHINES","STP SRINIVAS, Alivelu Manga Parimi, Rabindra Mohanty, P Shambhu Prasad, Sarda Sharma, Nawin Ra, Renuka Loka, Santhi Durganjali Challa, Mithun Mondal, E Prasanth Kumar, Manoj Samal, Shrimathi H P, Sudha Radhika"
1097,"INSTR F212","ELECTROMAGNETIC THEORY I","Rahul Nigam, SARMISTHA BANIK, Subrahmanya Bhima Sankar D, Subash N. Karbelkar, Prasant Samantray"
1099,"INSTR F214","ELECTRONIC DEVICES","SAYAN KANUNGO, BVVSN Prabhakar Rao, Parikshit Parshuram Sahatiya"
1098,"INSTR F215","DIGITAL DESIGN","ANKUR BHATTACHARJEE, Ponnalagu R N, Amit  Kumar Panda, TO BE ANNOUNCED, Aditya Tiwari, Harish Vijay Dixit, Manish Laxminarayan Bhaiyya, Manish Rishi, Subhradeep Pal, Mrunali Dnyaneshwar Wagh, Jayapiriya U S, Amit Ranjan Azad, Sayan Kanungo, P Joshna, Karumbaiah Chappanda Nanaiah, Saroj Mondal, Ramakant"
1660,"INSTR F266","STUDY PROJECT","SUBHRADEEP PAL"
1345,"INSTR F311","ELECTRO INST & INST TECH","KARUMBAIAH CHAPPANDA NANAIAH, Pn Sidhartha, Sanket Goel"
1346,"INSTR F312","TRANSD & MEASUREMENT TEC","SUDHA RADHIKA"
1347,"INSTR F313","ANALOG & DIGITAL VLSI DES","S K CHATTERJEE, Chowta Mallikharjunarao, Surya Shankar Dan"
1734,"INSTR F366","LABORATORY PROJECT","PARIKSHIT PARSHURAM SAHATIYA"
1745,"INSTR F367","LABORATORY PROJECT","PARIKSHIT PARSHURAM SAHATIYA"
1694,"INSTR F376","DESIGN PROJECT","KARUMBAIAH CHAPPANDA NANAIAH"
1761,"INSTR F377","DESIGN PROJECT","KARUMBAIAH CHAPPANDA NANAIAH"
1010,"MATH F111","MATHEMATICS I","DK Satpathi, Pratyusha Chattopadhyaa, K Venkata Ratnam, Nijjwal Karak, A MICHAEL ALPHONSE, Farida Parvez Barbhuiya, Sumit Kumar V, Rohit Gupta, Sharan Gopal, Sajith P, Jhuma Sen Gupta, Nabin Kumar Meher, Debopam Chakraborthy, Sayan Ghosh, Sri Sakti Swarup Anupindi, Agrawal Amarkumar Shyamsunder, Aleena Philip, Nakidi Shravani, Anjali P V, Vipin V, Simran Arora, Hirendra Kumar Garai, Ruddarraju Amrutha, Debarati Mondal, Amritanshu Rai, Sunil Rampuria, Md Imdadul Islam, Gaurav Narayanrao Gadbail, Pankaj Patel, Sunita Kumawat"
1022,"MATH F211","MATHEMATICS III","B Mishra, Anil Nemili, PTV Praveen Kumar, Santanu Koley, PK Sahoo, Deepika, TSL Radhika, G Murali Mohan Reddy, Manish Kumar, Nirman Ganguly, JAGAN MOHAN J, Sabyasachi Dey, Kishore Kumar, K Bhargav Kumar, T Ranjan Panigrahi, Tusharakanta Pradhan, Tapaswini Patro, Zinnat Hassan, Laxmipriya Pati, Kadam Siddheshwar Atmaram, Roja Solanki, Shivangi Joshi, Lohakare Santosh Vijay, Anshid Aboobacker, Purohit Nisarg Bharatbhai, Shaik Azharuddin, Suman Prabha Yadav, Nitin Kumar Sharma, Ashwini S, Priyanka Vishwakarma"
1122,"MATH F212","OPTIMIZATION","DK Satpathi, Sumit Kumar V, PTV PRAVEEN KUMAR, K Venkata Ratnam"
1123,"MATH F213","DISCRETE MATHEMATICS","A MICHAEL ALPHONSE, Sajith P"
1124,"MATH F214","ELEMENTARY REAL ANALYSIS","MANISH KUMAR, Nijjwal Karak"
1125,"MATH F215","ALGEBRA I","PRATYUSHA CHATTOPADHYAA, Nabin Kumar Meher"
1340,"MATH F231","NUMBER THEORY","DEBOPAM CHAKRABORTHY"
1662,"MATH F266","STUDY PROJECT","NIJJWAL KARAK"
1469,"MATH F311","INTRODUCTION TO TOPOLOGY","SHARAN GOPAL, Faiz Imam, G Vinodkumar Rajlingappa"
1470,"MATH F312","ORDINARY DIFF EQUATIONS","G MURALI MOHAN REDDY, Sanjay Mandal, N S Gopal"
1471,"MATH F313","NUMERICAL ANALYSIS","KISHORE KUMAR, K Panduranga, Kshma Trivedi"
1679,"MATH F366","LABORATORY PROJECT","SAJITH P"
1747,"MATH F367","LABORATORY PROJECT","SAJITH P"
1696,"MATH F376","DESIGN PROJECT","NABIN KUMAR MEHER"
1763,"MATH F377","DESIGN PROJECT","NABIN KUMAR MEHER"
1882,"MATH F420","MATHEMATICAL MODELLING","SANTANU KOLEY"
2191,"MATH F424","APPLIED STOCHASTIC PROCESS","FARIDA PARVEZ BARBHUIYA"
2273,"MATH F432","APPLIED STATISTICAL METHODS","SAYAN GHOSH"
1330,"MATH F441","DISCRETE MATHS STRUC","SABYASACHI DEY"
1880,"MATH F456","COSMOLOGY","PK SAHOO"
1013,"ME F112","WORKSHOP PRACTICE","AMRITHA PRIYADARSHINI, N Suresh Kumar Reddy, Ahsan Ul Haq, Ravi Shanker Vidyarthy, Shaik Ayub Mohiddin, Ashish Saurabh, Srinivasa Murali Kartheek S, Balija Upendra, P  Chennakesava Sai, Vardhanapu Muralidhar, Jose Santo, Y S Prasanna, Kandukuri Prudviraj, Sd Azaharoddin, Ronanki Suresh, Renuka Pradeep Rekhade"
1083,"ME F211","MECHANICS OF SOLIDS","PAVAN KUMAR P, Jagan Mohan Ponnada, Sangam Srikanth, J Murali Mohan, Kolla Lakshman Rao"
1082,"ME F212","FLUID MECHANICS","PARDHA SARADHI GURUGUBELLI V, TO BE ANNOUNCED, V Venkateswara Rao, Deepak Nabapure, Jeevan Jaidi, Kalyani Panigrahi"
1085,"ME F215","MECHANICAL ENGG LAB","SUJITH R"
2394,"ME F216","MATERIALS SCIENCE AND ENGINEER","SUJITH R, Sreejith S, Amit Kumar Gupta, Veeraiahgari Vamshi, Kandula Uday Kumar Reddy, Gudlavalleti Deepak Kumar, Jella Gangadhar, P V Sai Divya, Ankit Sharma, Lanka Tata Rao, Prabakaran Saravanan"
2396,"ME F217","APPLIED THERMODYNAMICS","SATISH K DUBEY, Sunkara Prudhvi Raj, J Murali Mohan, P Ankamma Rao, B Sravya, V Venkateswara Rao, Shaik Gouse Ahammad, Deepak Nabapure, M Srinivas, R Naresh, Gi Venkata Naga Trivedi, Kalyani Panigrahi, Mrinal Ketan Jagirdar"
1663,"ME F266","STUDY PROJECT","MRINAL KETAN JAGIRDAR"
1267,"ME F311","HEAT TRANSFER","SATISH K DUBEY, J Murali Mohan"
1268,"ME F312","ADV MECHANICS OF SOLIDS","G R SABAREESH"
1269,"ME F313","PRODUCTION TECHNIQUES II","N SURESH KUMAR REDDY"
2401,"ME F314","DESIGN OF MACHINE ELEMENTS","SP REGALLA, Veeraiahgari Vamshi, Gudlavalleti Deepak Kumar, P V Sai Divya, Brajesh Kumar Panigrahi, Lanka Tata Rao"
2403,"ME F315","ADVANCED MANUFACTURING PROCESSES","N SURESH KUMAR REDDY, Gandla Praveen Kumar, Donpaul Jose, Wankhede Pankaj Rambhauji, Amar S D, Petla Sivateja, P Sandeep, Ravi Shanker Vidyarthy, Saurabh Rai"
2404,"ME F316","MANUFACTURING MANAGEMENT","AMRITHA PRIYADARSHINI, Donpaul Jose, TO BE ANNOUNCED, P Sandeep"
2405,"ME F317","ENGINES","Gi Venkata Naga Trivedi, N Jalaiah, K Monika, Ramayee L, S S Deshmukh, Sama.Sanghamitra"
1680,"ME F366","LABORATORY PROJECT","R PARAMESHWARAN"
1748,"ME F367","LABORATORY PROJECT","R PARAMESHWARAN"
1697,"ME F376","DESIGN PROJECT","KUNDAN KUMAR SINGH, Santanu Prasad Datta"
1764,"ME F377","DESIGN PROJECT","KUNDAN KUMAR SINGH, Santanu Prasad Datta"
2291,"ME F414","FUEL CELL SCIENCE AND TECHNOLOGY","PRABAKARAN SARAVANAN"
1280,"ME F418","ROCKET AND SPACECRAFT PROPULSION","SUPRADEEPAN K"
2309,"ME F424","ENERGY MANAGEMENT","R PARAMESHWARAN, N Jalaiah"
2310,"ME F425","ADDITIVE MANUFACTURING","PAVAN KUMAR P"
2311,"ME F426","INDUSTRY 4.0 IN MANUFACTURING","KUNDAN KUMAR SINGH"
1282,"ME F432","COMPUTER AIDED MANUFACT","KURRA SURESH, Kolla Lakshman Rao"
1284,"ME F443","QUALI CONTRO ASSUR & REL","C P KIRAN"
1287,"ME F461","REFRIGERATION & AIRCOND","SANTANU PRASAD DATTA"
1867,"ME F483","WIND ENERGY","M SRINIVAS"
741,"ME G511","MECHANISMS & ROBOTICS","YV DASESWARA RAO, TO BE ANNOUNCED"
322,"ME G512","FINITE ELEMENT METHOD","AMOL VUPPULURI, TO BE ANNOUNCED"
2060,"ME G514","TURBOMACHINERY","JEEVAN JAIDI, G Prashanth Kumar Reddy"
2061,"ME G516","ENERGY SYSTEMS ENGINEERING","S S DESHMUKH, Sama.Sanghamitra"
262,"ME G532","MACHINE TOOL ENGINEERING","KUNDAN KUMAR SINGH, Gururaja S"
2079,"ME G535","ADV ENGG MATHEMATICS","KRC MURTHY, Pardha Saradhi Gurugubelli V, Vemu Sahiti"
740,"ME G641","THEORY OF ELASTICITY & PLAST","BRAJESH KUMAR PANIGRAHI, C Anand Badrish"
742,"MEL G611","IC FABRICATION TECHNOLOGY","PARIKSHIT PARSHURAM SAHATIYA, Pavar Sai Kumar"
743,"MEL G621","VLSI DESIGN","SYED ERSHAD AHMED, Anil Kumar U"
2063,"MEL G622","INTRO TO ARTIF NEURAL NET","VENKATESWARAN R, Swapna Challagundla"
2064,"MEL G624","ADV VLSI ARCHITECTURES","S K SAHOO, G Sahith"
606,"MEL G626","VLSI TEST & TESTABILITY","SAROJ MONDAL, Arun Mohan B"
744,"MEL G631","PHYSICS AND MODELLING OF MICROELECTRONIC DEVICES","SURYA SHANKAR DAN, Soumi Saha"
1664,"MF F266","STUDY PROJECT","MRINAL KETAN JAGIRDAR"
1402,"MF F311","MECHATRONICS & AUTOMAT","ARSHAD JAVED, G Lakshmi Srinivas"
1681,"MF F366","LABORATORY PROJECT","R PARAMESHWARAN"
1749,"MF F367","LABORATORY PROJECT","R PARAMESHWARAN"
1698,"MF F376","DESIGN PROJECT","KUNDAN KUMAR SINGH, Santanu Prasad Datta"
1765,"MF F377","DESIGN PROJECT","KUNDAN KUMAR SINGH, Santanu Prasad Datta"
1417,"MF F418","LEAN MANUFACTURING","AMIT KUMAR GUPTA"
1418,"MF F421","SUPPLY CHAIN MANAGEMENT","C P KIRAN"
1024,"MGTS F211","PRINCIPLES OF MANAGEMENT","R RAGHUNATHAN"
2464,"MPBA  G512","TIME SERIES ANALYSIS AND FORECASTING","RISHI KUMAR"
369,"MSE G511","MECHATRONICS","ARSHAD JAVED, G Lakshmi Srinivas"
1931,"MST F331","MATERIALS CHARACTERIZATION","KARTHIK CHETAN"
1086,"PHA F211","PHARMACEUTICAL ANALYSIS","BALRAM GHOSH, Sri Ganga, Ch Sai Sanjay, Sravani Pulya"
1088,"PHA F213","MICROBIOLOGY","D SRIRAM, Lahane Ganesh Panditrao, Lavanya S"
1863,"PHA F215","INTRODUCTION TO MOLECULAR BIO & IMMUNOLOGY","ARTI DHAR, Trupti Ghatage"
1294,"PHA F244","PHYSICAL PHARMACY","V V KRISHNA VENUGANTI, B Sony Priyanka, Parameswar Patra, Shreya Shashank Chauhan"
1665,"PHA F266","STUDY PROJECT","ARTI DHAR"
1295,"PHA F311","PHARMACOLOGY I","ONKAR KULKARNI, Ashutosh Balasaheb Mahale, S Kavitha"
1297,"PHA F312","MEDICINAL CHEMISTRY I","P YOGEESWARI, Dasugari Varakala Saiprasad Goud, Kumbham Soniya, Routholla Ganesh"
1300,"PHA F314","PHARMA FORMUL & BIOPHARM","NIRMAL J, Manisha Malani, Priyadarshini Sathe, Raghuraman Manimaran, Velmurugan K"
1682,"PHA F366","LABORATORY PROJECT","ARTI DHAR"
1750,"PHA F367","LABORATORY PROJECT","ARTI DHAR"
1699,"PHA F376","DESIGN PROJECT","ARTI DHAR"
1766,"PHA F377","DESIGN PROJECT","ARTI DHAR"
1305,"PHA F415","PATHOPHYSIOLOGY","ONKAR KULKARNI, Srinivas Prasad K"
1308,"PHA F422","COSMETIC SCIENCE","D SRIRAM, Bollareddy Srivarsha Reddy, K Vandana"
2382,"PHA G535","BIOMATERIALS","NIRMAL J"
2384,"PHA G537","PARENTERAL PRODUCT DEVELOPMENT","AKASH C"
2387,"PHA G540","MODERN PHARMACEUTICAL ANALYTICAL TECHNIQUES","A SAJELI BEGUM, P. S Lakshmi Soukya, Pragya Paramita Pal, Purbali Chakraborty, Samrun Nessa"
653,"PHA G542","ADVANCE PHYSICAL PHARMA","V V KRISHNA VENUGANTI, Deepanjan Datta, Leela Sai Lokesh Janardhanam"
2132,"PHA G545","IPR AND PHARMACEUTICALS","P YOGEESWARI"
2293,"PHA G547","QUALI-BY-DESIGN IN PHARMACEUTICAL PROD DEVEL","R PUNNA RAO, Mohd Shareef Khan"
747,"PHA G612","PHARM KINET & CLINIC PHA","R PUNNA RAO, Radhika Rajiv Mahajan"
510,"PHA G616","PHARMA ADMIN & MANAGEMENT","AKASH C"
145,"PHA G617","ADV DRUG DELIVERY SYSTEM","SWATI BISWAS, Asif Mohd Itoo, Milan Paul"
2069,"PHA G642","LABORATORY PROJECT","SWATI BISWAS"
1014,"PHY F110","PHYSICS LABORATORY","K V Shiv Chaitanya, Ronit Mahapatra, Sarmistha Banik, Haridev S R, Sashideep Gutti, Debanjan Guha Roy, VSN MURTHY, Akhil U Nair, Souri Banerjee, Nobleson K, Aranya Bhuti Bhattacherjee, Surabhi Yadav, Subrahmanya Bhima Sankar D, Sreeshna S, Sajia Yeasmin, Prasant Samantray, Yash Pareek, Anamika Avinash Pathak, Sabur Ahmed Barbhuiya"
1015,"PHY F111","MECH OSCIL & WAVES","KANNAN RAMASWAMY, Asrarul Haque, PK Thiruvikraman, Sashideep Gutti, Swastik Bhattacharya, B Harihara  Venkataraman"
1859,"PHY F112","GENERAL PHYSICS","PK THIRUVIKRAMAN"
1126,"PHY F211","CLASSICAL MECHANICS","SOURI BANERJEE"
1127,"PHY F212","ELECTROMAGNETIC THEO I","Rahul Nigam, SARMISTHA BANIK, Subrahmanya Bhima Sankar D, Subash N. Karbelkar, Prasant Samantray"
1128,"PHY F213","OPTICS","MEENAKSHI V"
1129,"PHY F214","ELEC MAGNET & OPTICS LAB","MEENAKSHI V, Aravinda N Raghavan, Hiwase Prajakta Mohanrao, Aiswarya N M"
1485,"PHY F244","MODERN PHYSICS LAB","KANNAN RAMASWAMY, Nilofar Naaz, VSN Murthy, Priyanka Mitra"
1666,"PHY F266","STUDY PROJECT","RAHUL NIGAM"
1486,"PHY F311","QUANTUM MECHANICS II","ASRARUL HAQUE"
1488,"PHY F313","COMPUTATIONAL PHYSICS","PK THIRUVIKRAMAN"
2448,"PHY F346","LASER SCIENCE & TECHNOLOGY","ARANYA BHUTI BHATTACHERJEE"
1683,"PHY F366","LABORATORY PROJECT","KANNAN RAMASWAMY"
1751,"PHY F367","LABORATORY PROJECT","KANNAN RAMASWAMY"
1700,"PHY F376","DESIGN PROJECT","RAHUL NIGAM"
1767,"PHY F377","DESIGN PROJECT","RAHUL NIGAM"
1498,"PHY F415","GENERAL THEORY OF RELATIVITY AND COSMOLOGY","SUBASH N. KARBELKAR"
1503,"PHY F422","GROUP THEORY AND APPLICATIONS","RAHUL NIGAM"
1506,"PHY F423","SPECIAL TOPICS IN STATISTICAL MECHANICS","SWASTIK BHATTACHARYA"
2297,"SAN G511","SANITATION TECHNOLOGY","TO BE ANNOUNCED"
2298,"SAN G512","SANITATION AND PUBLIC HEALTH","TO BE ANNOUNCED"
2299,"SAN G513","SAN GOVERNANCE",""
958,"SS G515","DATA WAREHOUSING","NARASIMHA BOLLOJU"
